Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,$103.00 ,218,"2,245","$1,257 ",Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,$103.00 ,163,"1,679",$806 ,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,$10.00 ,700,"7,000","$3,150 ",Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,575,"8,625","$3,881 ",Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,475,"7,125","$3,206 ",Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,475,"7,125","$2,494 ",In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$20.00 ,450,"9,000","$3,150 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,450,"6,750","$2,700 ",Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$20.00 ,450,"9,000","$2,700 ",In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,434,"1,910",$993 ,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,425,"6,375","$2,231 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,425,"6,375","$2,550 ",Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,$20.00 ,425,"8,500","$3,400 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,425,"8,500","$2,975 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$48.00 ,420,"2,016","$1,129 ",Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$39.00 ,408,"1,591",$875 ,Outlet
